price,solarPanels,greenhouses,size,rowIndex,price.1
15990,32.0,6.0,1195,124,11268.880619754666
2500,14.0,2.0,350,126,1558.5036460524275
1800,10.0,2.0,395,127,1297.3873211656978
3100,24.0,2.75,530,128,4365.864833708589
990,10.0,1.0,400,130,702.6696572615051
2500,16.0,2.0,600,131,3260.623005953344
3600,24.0,3.0,540,132,4579.42521655215
2150,12.0,3.5,540,133,3329.28146407112
9990,28.0,4.25,990,134,8474.746145082783
1650,14.0,2.5,385,136,2072.1323675629023
10300,24.0,6.0,1005,137,9131.832794611979
1950,4.0,5.0,320,139,1954.548201049694
2990,16.0,4.0,440,140,3584.9787755282155
1990,10.0,3.5,540,142,3068.9613678927276
1800,10.0,1.5,440,143,1245.1343640464306
1500,10.0,2.5,330,144,1234.2963371871624
650,8.0,1.0,215,145,-624.5818940715558
2600,20.0,1.0,510,146,2638.6618141913764
1300,8.0,1.0,205,147,-682.2538646204571
5400,24.0,3.25,835,148,6436.63676003939
1900,14.0,2.5,465,149,2533.508131954111
9990,20.0,7.0,920,150,8744.53450176818
2150,14.0,3.75,395,151,2909.246399585108
3950,24.0,2.0,640,152,4532.591272862517
5700,24.0,3.75,880,153,7007.937452098766
3800,14.0,4.5,690,154,5078.23476766167
3500,20.0,2.0,705,155,4386.818889073589
2500,6.0,4.0,610,156,3263.8017939675724
1700,4.5,2.0,465,157,985.2108505174269
1950,10.0,1.0,425,158,846.8495836337574
5100,20.0,5.0,605,159,5680.760131120511
1500,16.0,1.0,260,162,676.2223581120666
3950,16.0,4.25,525,164,4231.078937488535
1400,12.0,3.0,245,165,1316.1815082892185
2500,14.0,1.75,580,166,2729.07055638249
1950,20.0,1.0,690,167,3676.7572840715943
11400,32.0,6.0,860,168,9336.869606366483
2950,14.0,2.5,445,169,2418.1641908563083
1700,12.0,1.0,410,171,1020.6617239887978
9100,32.0,5.0,845,172,8626.808001364487
1500,14.0,1.0,260,175,415.90226193367516
3500,12.0,4.0,630,176,4160.1060236005505
2350,20.0,1.0,605,177,3186.545534405935
3950,7.0,5.5,745,178,5107.863918234896
1950,7.0,3.75,200,179,873.5226372571665
6950,16.0,6.25,760,180,6833.477543744997
1850,5.0,3.0,555,181,2192.892258680777
2100,14.0,3.0,385,182,2383.9091921522245
3950,16.0,3.0,685,183,4374.388404797646
8950,28.0,4.0,950,184,8088.16985059252
2250,10.0,3.0,310,185,1430.7292206786829
8990,20.0,7.5,765,186,8162.395782849533
3450,20.0,3.25,665,188,4935.57306835129
1500,14.0,1.0,335,189,848.4420410504331
1900,16.0,2.75,415,190,2661.3567876826587
3100,24.0,3.75,510,193,4874.074541789429
8450,24.0,6.0,780,194,7834.213457261705
5950,20.0,4.5,725,195,6061.046953118001
1950,14.0,3.5,385,196,2695.6860167415466
7500,20.0,5.0,875,197,7237.903335940837
3300,16.0,3.0,650,199,4172.5365078764935
2950,14.0,1.0,315,201,733.0980999526305
9200,28.0,5.0,860,202,8192.675764831054
1700,16.0,1.0,555,203,2377.545489304646
3950,10.0,6.0,455,204,4137.633741173679
1500,8.0,1.25,465,205,973.1057819456305
1700,10.0,2.25,465,206,1856.9795273026662
3990,14.0,4.0,610,207,4305.082178681141
6800,32.0,4.0,745,208,7426.534646696833
3950,24.0,3.0,620,209,5040.800980943359
1850,20.0,2.0,375,211,2483.6438609598567
2950,20.0,1.5,545,212,3152.2905357018512
2950,10.0,3.0,240,213,1027.0254268363756
1950,7.5,3.5,315,214,1445.9419103194646
6950,28.0,4.5,750,216,7246.507264203821
1700,14.0,1.0,585,219,2290.2413047729574
1750,20.0,2.25,345,220,2466.516361607814
2500,10.0,3.5,490,221,2780.601515148223
4300,20.0,3.25,740,222,5368.112847468048
2950,24.0,2.0,505,223,3754.019670452353
1500,10.0,1.5,350,225,726.0866291063217
5400,16.0,5.0,685,226,5621.495703154935
800,14.0,1.0,285,227,560.0821883059275
3950,14.0,4.0,515,228,3757.198458466581
8700,28.0,5.5,920,230,8850.484412713782
1100,6.0,3.5,360,231,1510.225705655725
1500,7.25,1.5,385,233,569.9983937821867
2500,10.0,2.0,545,234,2162.4668793992128
3950,10.0,4.0,615,235,3813.2779715988067
2250,14.0,1.0,450,236,1511.6697023627944
1500,16.0,1.5,390,238,1737.734799837102
1950,10.0,1.0,515,240,1365.8973185738664
8950,32.0,4.5,845,241,8315.031176775165
12900,32.0,5.0,1160,243,10443.475073654869
3500,14.0,4.5,390,244,3348.0756511946397
1600,20.0,1.25,440,245,2390.84643264373
2050,7.0,3.0,585,246,2626.2282665058715
1990,24.0,2.0,415,247,3234.9719355122447
2990,12.0,4.0,395,248,2804.814715701377
1800,20.0,1.0,520,249,2696.3337847402777
3200,14.0,3.5,695,250,4483.517103757476
9950,24.0,5.0,1050,251,8767.803012903387
1950,20.0,1.5,585,252,3382.9784178974546
2990,20.0,3.0,390,253,3193.705465961851
1950,5.75,1.0,300,254,-427.23025260658824
800,6.0,1.0,345,256,-135.16637311423483
5950,12.0,6.0,820,257,6502.9807623869565
1850,10.0,2.0,290,258,691.8316304022369
1500,14.0,1.25,435,259,1581.0501588341026
500,10.0,1.0,150,260,-739.1296064610201
1200,12.0,1.0,355,261,703.4658859698425
7950,28.0,4.25,885,262,7869.190454319323
1950,7.0,1.75,255,263,-56.388823081165356
3950,20.0,3.25,570,264,4387.68934813673
3950,5.5,4.0,625,265,3285.2297257463256
11950,28.0,5.0,1115,266,9663.311013828028
2950,14.0,2.0,630,267,3173.318821421655
1950,20.0,1.0,480,268,2465.6459025446725
3200,20.0,3.0,380,270,3136.03349541295
1300,4.0,2.0,480,271,1006.6387822961801
1500,14.0,1.0,450,272,1511.6697023627944
2950,16.0,2.0,480,273,2568.559359366532
6990,16.0,6.5,795,274,7191.21785296081
700,12.0,1.0,215,276,-103.94170171477163
9050,20.0,6.75,930,277,8646.318060022419
1400,14.0,2.0,285,278,1183.6358374845709
1150,7.0,1.0,260,279,-495.21807469069745
2950,7.0,4.0,500,281,2759.5701660188565
4500,14.0,6.5,555,282,5546.770463608795
1950,14.0,2.0,380,285,1731.5195576991305
5950,20.0,5.0,620,286,5767.268086943861
3990,20.0,4.0,500,289,4451.6507911784065
1200,7.0,2.0,455,290,1252.9390001915158
1850,10.0,3.0,390,291,1892.1049850698905
7990,28.0,5.5,725,293,7725.880987010212
2900,20.0,2.0,685,294,4271.474947975788
1950,7.5,2.5,315,295,822.3882611408212
1700,7.0,2.0,445,296,1195.2670296426145
2850,10.0,4.0,590,297,3669.0980452265535
3950,16.0,5.0,485,299,4468.056292176914
1900,7.0,4.0,385,300,2096.342504706495
2400,20.0,1.0,620,301,3273.053490229287
2100,5.0,5.0,505,303,3151.639704293559
1950,14.0,1.25,495,304,1927.0819821275086
5990,24.0,4.0,645,305,5808.5345564942545
1950,5.0,4.0,255,306,1086.2867913923906
700,20.0,1.0,225,307,995.0106535476975
990,4.0,1.5,275,308,-487.4134385456123
1990,12.0,2.5,545,309,2734.5638001669263
1950,4.25,1.0,290,311,-680.1422952892831
2450,12.0,3.5,400,312,2521.8738763865053
2500,6.0,3.5,590,313,2836.6810282804486
1950,20.0,2.5,335,314,2564.7328033535737
2950,8.0,4.5,390,316,2567.1153626594637
4990,20.0,4.0,640,317,5259.058378863021
3950,14.0,4.75,795,319,5839.678870719792
2950,5.0,4.25,620,320,3347.202128721938
1950,16.0,2.5,375,321,2274.7804931923943
990,6.0,1.0,345,322,-135.16637311423483
1050,10.0,1.0,365,323,500.81776034035147
6500,24.0,4.0,900,324,7279.16980549123
11950,20.0,7.0,1115,325,9869.137927471747
2500,16.0,2.0,485,326,2597.395344640983
2950,20.0,2.0,460,328,2973.855610625515
2950,4.0,5.0,450,330,2704.283818185407
1950,14.0,1.5,305,331,987.2029539930513
7500,28.0,4.0,790,332,7165.4183218101025
1990,20.0,1.0,395,333,1975.434152879015
1950,14.0,1.0,220,334,185.21437973807087
7700,28.0,5.0,750,335,7558.284088793142
6600,28.0,3.5,980,336,7949.408937649901
1200,6.0,1.5,395,337,464.970304219592
2500,20.0,1.5,595,339,3440.650388446356
1990,14.0,2.0,225,340,837.6040141911649
1150,7.0,3.0,280,342,867.2331647643919
1600,14.0,1.0,540,343,2030.7174373029025
1950,10.0,2.0,530,344,2075.958923575861
3500,20.0,2.0,705,346,4386.818889073589
5500,16.0,4.0,680,347,4969.10606870184
3450,24.0,2.0,710,349,4936.295066704824
1950,16.0,1.0,525,350,2204.5295776579437
1350,6.5,3.0,355,351,1234.692919836551
2800,10.0,5.0,535,352,3975.4558563862424
1950,14.0,1.0,315,353,733.0980999526305
3100,24.0,2.25,545,355,4140.595964942619
1950,20.0,1.0,550,356,2869.3496963869798
1250,12.0,1.0,510,357,1597.3814294778072
2990,14.0,4.0,405,358,3122.8067824286695
6850,28.0,4.5,725,361,7102.327337831568
4200,20.0,4.5,530,363,4936.443527414431
3350,28.0,2.0,690,365,5341.591317963806
3100,20.0,2.0,630,366,3954.2791099568317
4990,20.0,3.0,780,367,5442.912317368991
3950,20.0,3.0,670,369,4808.520641331081
3990,24.0,2.0,715,370,4965.131051979275
2500,20.0,1.0,495,371,2552.1538583680244
2400,20.0,2.0,510,372,3262.2154633700197
2990,10.0,4.0,540,373,3380.738192482049
17900,36.0,6.5,1160,374,11899.445739779618
1990,14.0,1.5,380,375,1419.7427331098093
6700,24.0,4.0,875,376,7134.989879118977
1990,7.0,3.0,440,377,1789.984693546808
2700,10.0,3.0,615,378,3189.7243224201625
3500,16.0,4.25,480,381,3971.555070018481
4900,28.0,3.0,605,382,5474.9332174767915
1400,20.0,1.0,370,383,1831.2542265067618
4200,8.0,6.75,825,384,6478.841792188607
2990,10.0,5.0,450,385,3485.244106720583
2950,14.0,4.5,450,386,3694.1074744880457
5900,20.0,4.5,895,389,7041.470452449317
3700,14.0,3.0,570,391,3450.840647306893
2050,10.0,2.25,440,392,1712.799600930413
6950,28.0,3.75,845,393,7326.725747534398
2050,16.0,1.0,665,394,3011.9371653425574
2500,16.0,1.25,600,395,2792.957769069362
1990,16.0,2.5,440,396,2649.648301760251
950,10.0,1.0,285,397,39.44199594914335
3950,16.0,4.0,530,398,4104.026510468324
4500,12.0,6.0,490,399,4599.8057342732245
